ID,ND1,ND2,ND3,ND4,ND5,HFD1,HFD2,HFD3,HFD4,HFD5
3724,0.001482916,0.002822729,0.002024558,0.002708985,0.001988695,0.001412859,0.001370396,0.001163881,0.001076746,0.000783462
3950,3.29E-05,3.19E-05,4.50E-05,1.36E-05,1.08E-05,7.51E-06,7.74E-06,7.76E-06,6.20E-06,1.42E-05
4265,6.80E-06,5.79E-06,4.89E-06,8.33E-06,7.78E-06,3.91E-06,4.36E-06,3.44E-06,6.21E-06,4.61E-06
4434,1.02E-05,8.76E-06,1.34E-05,1.21E-05,1.14E-05,4.30E-06,3.24E-06,8.43E-06,4.79E-06,6.18E-06
4502,3.22E-05,5.10E-05,4.76E-05,4.70E-05,2.95E-05,1.90E-05,3.68E-05,1.78E-05,2.60E-05,2.21E-05
4624,3.13E-06,7.97E-05,0.000129277,0.000175696,9.14E-05,2.52E-05,1.42E-05,1.39E-05,1.28E-05,1.09E-05
4667,2.36E-05,4.68E-05,6.70E-05,4.23E-05,6.68E-05,2.62E-06,4.03E-06,2.54E-06,3.84E-06,3.27E-06
4674,4.90E-06,1.94E-05,2.55E-05,2.00E-05,1.66E-05,8.23E-07,5.35E-06,5.60E-06,5.74E-06,4.93E-06
4823,0.000334756,0.000240461,0.000172966,0.00016712,0.000227094,0.000329034,0.000473019,0.000296498,0.000359717,0.000287626
4852,6.04E-05,3.91E-05,2.31E-05,2.42E-05,3.45E-05,5.69E-05,6.72E-05,4.03E-05,7.33E-05,5.87E-05
4855,2.14E-05,2.51E-05,3.59E-05,2.99E-05,2.69E-05,1.97E-05,2.73E-05,1.35E-05,1.84E-05,1.39E-05
4873,7.87E-05,6.75E-05,8.69E-05,7.89E-05,7.82E-05,1.82E-05,7.97E-05,2.75E-05,3.96E-05,2.88E-05
4886,3.94E-05,1.75E-05,3.57E-05,1.75E-05,1.98E-05,5.81E-06,1.49E-05,5.34E-06,1.40E-05,9.93E-06
5022,0.000104004,4.64E-05,9.21E-05,8.37E-05,5.39E-05,2.58E-05,4.69E-05,3.95E-05,3.51E-05,2.37E-05
5185,4.59E-05,4.37E-05,6.34E-05,6.14E-05,0.000104678,1.81E-05,3.56E-05,1.72E-05,4.76E-05,4.29E-05
5211,5.28E-05,4.09E-05,3.24E-05,3.53E-05,4.68E-05,4.71E-05,5.73E-05,4.97E-05,7.12E-05,4.97E-05
5435,4.27E-06,5.93E-06,6.86E-06,9.37E-06,6.65E-06,1.22E-06,1.67E-06,2.52E-06,1.45E-06,1.14E-06
5489,4.32E-05,5.73E-05,5.98E-05,7.27E-05,6.75E-05,4.13E-05,2.59E-05,3.84E-05,4.90E-05,2.02E-05
5556,7.11E-05,0.000121318,0.000119206,0.000126604,8.11E-05,1.94E-05,3.03E-05,2.96E-05,2.48E-05,2.58E-05
5612,2.66E-05,2.47E-05,5.01E-05,3.25E-05,2.65E-05,5.31E-05,4.60E-05,3.13E-05,4.89E-05,6.42E-05
5620,4.37E-06,1.53E-05,2.18E-05,2.41E-05,3.32E-05,4.50E-06,6.31E-06,1.26E-05,4.53E-06,3.86E-06
5627,0.000139287,6.92E-05,0.000103252,7.70E-05,0.000168641,2.58E-05,6.55E-05,4.04E-05,5.75E-05,6.02E-05
5649,0.001839517,0.000669104,0.000575961,0.00026006,0.000289732,0.002222764,0.00181592,0.0023689,0.003318204,0.002957679
5749,0.000788118,0.001395874,0.001170447,0.000429205,0.001255828,0.006975602,0.005013283,0.007052997,0.010291971,0.004189839
5788,8.64E-06,8.52E-06,1.17E-05,1.06E-05,1.34E-05,5.06E-06,7.12E-06,3.75E-06,7.79E-06,6.22E-06
5911,9.80E-05,0.000104064,7.70E-05,6.51E-05,8.83E-05,0.000124828,0.000128966,8.60E-05,0.000133583,0.000109098
6124,1.98E-05,4.21E-05,6.45E-05,6.32E-05,6.90E-05,1.71E-05,1.53E-05,1.71E-05,2.77E-05,2.26E-05
6166,1.68E-05,2.63E-05,1.99E-05,2.70E-05,2.42E-05,6.74E-06,6.59E-06,1.13E-05,6.72E-06,1.15E-05
